nombre;marca;categoria;sap;precio;paginaPdf;todasLasPaginas;notaPrecio
Tosh Galleta Fusión de Cereales 2 tacos 388 g;Tosh;Galletas;1059668;;296;296;columna Precio = precio de lista, no PSP
Tosh Wafer Cacao sin azúcar bolsa x 6;Tosh;Galletas;1051746;;294;294;columna Precio = precio de lista, no PSP
Tosh Wafer Coco sin azúcar bolsa x 6;Tosh;Galletas;1035439;;294;294;columna Precio = precio de lista, no PSP
Tosh Wafer Kiwi sin azúcar añadido bolsa x 6;Tosh;Galletas;1035440;;294;294;columna Precio = precio de lista, no PSP
Tosh Wafer Yogurt, Fresa y Açaí sin azúcar bolsa x 6;Tosh;Galletas;1041295;;294;294;columna Precio = precio de lista, no PSP
Tosh Zero Casera bolsa x 6 144 g;Tosh;Galletas;1086484;;103;103;
Tosh Ajonjolí en Grano 180 g;Tosh;Granos y semillas;2042650;13600;98;98;PSP
Tosh Chía en Grano 250 g;Tosh;Granos y semillas;2042649;22000;99;99;PSP
Tosh Linaza Molida 250 g;Tosh;Granos y semillas;2042648;10800;100;100;PSP
Tosh Quinua en Grano 250 g;Tosh;Granos y semillas;2042652;12000;96;96;PSP
Tosh Quinua en Hojuelas 200 g;Tosh;Granos y semillas;2042651;13900;97;97;PSP
Tosh Chips de Coco deshidratado bolsa x 6;Tosh;Snacks;2017501;;298;298;columna Precio = precio de lista, no PSP
Tosh Pita Chips Cebolla Caramelizada 6 unidades;Tosh;Snacks;1046489;;297;297;columna Precio = precio de lista, no PSP
Tosh Pop Chips sabor Canela Caramelo 6 unidades 120 g;Tosh;Snacks;2018171;;298;298;columna Precio = precio de lista, no PSP
Tosh Pop Chips sabor Queso Mozarella 6 unidades 120 g;Tosh;Snacks;2018169;;298;298;columna Precio = precio de lista, no PSP
Tosh Rosquitas Queso, Finas Hierbas y Chía 8 unidades;Tosh;Snacks;2010274;;297;297;columna Precio = precio de lista, no PSP
Tosh Rosquitas Queso, Tomate y Quinua Roja bolsa x 8 paquetes;Tosh;Snacks;2010275;;297;297;columna Precio = precio de lista, no PSP
Tosh Armonía Infusión de Manzanilla, Cidrón, Jengibre y Maca 20 unidades 30 g;Tosh;Tés y aromáticas;2030246;;280;280;precio sin etiquetar en la página
Tosh Aromática Manzanilla y Limoncillo 18 sobres 19,8 g;Tosh;Tés y aromáticas;2032676;5900;122;122 277;PVSP
Tosh Aromática Manzanilla, Anís y Menta 20 unidades 20 g;Tosh;Tés y aromáticas;2039110;;280;280;precio sin etiquetar en la página
Tosh Aromática Manzanilla, Jengibre, Limón y Miel 20 unidades 22 g;Tosh;Tés y aromáticas;2031414;;280;280;precio sin etiquetar en la página
Tosh Bienestar Momento de Calma 20 unidades 24 g;Tosh;Tés y aromáticas;2031417;;281;281;precio sin etiquetar en la página
Tosh Bienestar Momento Ligero 20 unidades 24 g;Tosh;Tés y aromáticas;2038964;;280;280;precio sin etiquetar en la página
Tosh Frutal Frutos Rojos (presentación no especificada);Tosh;Tés y aromáticas;2031415;;279;279;"precio sin etiquetar; la página no aclara a qué presentación corresponde este código"
Tosh Frutal Frutos Rojos 10 unidades 12 g;Tosh;Tés y aromáticas;2031245;;279;279;"precio sin etiquetar; la página lista dos códigos (2031245 y 2031415) junto a la misma imagen sin aclarar la presentación de cada uno"
Tosh Frutal Frutos Rojos 20 unidades;Tosh;Tés y aromáticas;2031244;;279;279;precio sin etiquetar en la página
Tosh Frutal Frutos Rojos tira x 12 unidades;Tosh;Tés y aromáticas;1059929;;279;279;precio sin etiquetar en la página
Tosh Frutal Mango Coco 20 unidades 24 g;Tosh;Tés y aromáticas;2031247;;281;281;precio sin etiquetar en la página
Tosh Té Negro 20 unidades 32 g;Tosh;Tés y aromáticas;1053045;;281;281;precio sin etiquetar en la página
Tosh Té Verde con Flor de Jamaica 20 unidades 24 g;Tosh;Tés y aromáticas;2026757;;279;279;precio sin etiquetar en la página
Tosh Té Verde Piña 20 unidades 24 g;Tosh;Tés y aromáticas;2031249;;281;281;precio sin etiquetar en la página
Tosh Crema de Almendras 290 g;Tosh;Untables;1059256;;283;283;precio sin etiquetar en la página
Tosh Crema de Maní 100% maní tostado sin sal;Tosh;Untables;1051111;;283;283;precio sin etiquetar en la página
CMU Trozos de Atún en Aceite de Girasol Zenú 140 g Pague 6 Lleve 7;Zenú;Atún;1093157;;64;64;
CMU Trozos de Atún en Agua Zenú 140 g Pague 6 Lleve 7;Zenú;Atún;1093156;;63;63;
Zenú Lomos de Atún en Aceite de Girasol 160 g;Zenú;Atún;2015885;;162;162;columna VALOR sin especificar tipo de precio
Zenú Lomos de Atún en Aceite de Girasol 3 x 80 g;Zenú;Atún;2015883;;162;162;columna VALOR sin especificar tipo de precio
Zenú Lomos de Atún en Aceite de Oliva 3 x 80 g;Zenú;Atún;2015882;;162;162;columna VALOR sin especificar tipo de precio
Zenú Lomos de Atún en Agua 160 g;Zenú;Atún;2015886;;162;162;columna VALOR sin especificar tipo de precio
Zenú Lomos de Atún en Agua 3 x 80 g;Zenú;Atún;2015884;;162;162;columna VALOR sin especificar tipo de precio
Zenú Trozos de Atún en Aceite de Girasol 140 g;Zenú;Atún;1082110;;161;161;columna Precio sin especificar tipo
Zenú Trozos de Atún en Aceite de Oliva 140 g;Zenú;Atún;2036109;;163;163;
CMU 6 Salchichas Viena Zenú 150 g;Zenú;Cárnicos enlatados;1071623;;67;67;
Zenú Albóndigas de Cerdo en Salsa Napolitana 162 g;Zenú;Cárnicos enlatados;1034555;;157;157 167;columna Precio sin especificar tipo
Zenú Carne de Diablo 80 g;Zenú;Cárnicos enlatados;;;157;157;código SAP no visible en la página
Zenú Jamoneta 180 g;Zenú;Cárnicos enlatados;;;157;157;código SAP no visible en la página
Zenú Jamoneta 370 g;Zenú;Cárnicos enlatados;1004446;;157;157;
Zenú Pollo con Cebollines a la Mayonesa 160 g;Zenú;Cárnicos enlatados;1038799;;167;167;columna Precio sin especificar tipo
Zenú Pollo con Champiñones al Vino 160 g;Zenú;Cárnicos enlatados;1038798;;167;167;columna Precio sin especificar tipo
Zenú Pollo con Champiñones al Vino 160 g;Zenú;Cárnicos enlatados;;;159;159;código SAP recortado en la página (solo se ve ...38798)
Zenú Salchichas Frankfurt 150 g x 7 unidades;Zenú;Cárnicos enlatados;;;159;159;código SAP recortado en la página (solo se ve ...11774)
Zenú Salchichas Viena 150 g x 7 unidades;Zenú;Cárnicos enlatados;;;158;158;código SAP recortado en la página (solo se ve ...0855)
Zenú Salchichas Viena 3 x 150 g (precio especial);Zenú;Cárnicos enlatados;;;158;158;código SAP recortado en la página (solo se ve ...14868)
